number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_max_features,params_min_samples_leaf,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
33,0.9258847347301643,2023-09-04 17:14:29.026900,2023-09-04 17:21:56.926246,0 days 00:07:27.899346,0.0,,5,41,500,148.27158840497336,0.9776814778645834,0.9258847347301643,0.9185048715791465,0.9237895628455517,0.9353597697657945,2.564389355334461,0.008157386478620446,0.0070386649842196876,COMPLETE
34,0.9258847347301643,2023-09-04 17:17:43.351160,2023-09-04 17:24:21.284480,0 days 00:06:37.933320,0.0,,5,41,500,131.7196122010549,0.875140905380249,0.9258847347301643,0.9185048715791465,0.9237895628455517,0.9353597697657945,2.5146822381222753,0.002057336294575863,0.0070386649842196876,COMPLETE
35,0.9260598081672541,2023-09-04 17:17:46.553841,2023-09-04 17:23:51.998089,0 days 00:06:05.444248,0.0,balanced,5,31,500,120.89068873723348,0.8743697007497152,0.9260598081672541,0.9197894371867646,0.9227030119324152,0.9356869753825826,3.3700604292160974,0.02153010360485876,0.006910571172416185,COMPLETE
36,0.9260598081672541,2023-09-04 17:19:09.799074,2023-09-04 17:25:13.664111,0 days 00:06:03.865037,0.0,balanced,5,31,500,120.35186839103699,0.8927914301554362,0.9260598081672541,0.9197894371867646,0.9227030119324152,0.9356869753825826,4.026550005214082,0.03476858973948979,0.006910571172416185,COMPLETE
37,0.9265480423904958,2023-09-04 17:20:57.429014,2023-09-04 17:28:08.560099,0 days 00:07:11.131085,0.0,balanced,6,31,500,142.7033478418986,0.9563202063242594,0.9265480423904958,0.9198367017456122,0.9240458552237412,0.935761570202134,1.888769515196219,0.10663597798750438,0.006737757505406124,COMPLETE
38,0.9254560010613458,2023-09-04 17:21:46.746818,2023-09-04 17:24:04.725052,0 days 00:02:17.978234,0.0,,8,31,100,45.73182304700216,0.2115642229715983,0.9254560010613458,0.9188875913643504,0.9229621682091833,0.9345182436105037,0.7570166151431488,0.026230134630713962,0.006620358707851529,COMPLETE
39,0.9255430389315374,2023-09-04 17:21:56.931247,2023-09-04 17:23:58.644524,0 days 00:02:01.713277,0.0,balanced,8,31,100,40.323002099990845,0.20506501197814941,0.9255430389315374,0.9182700471857532,0.9240300905999261,0.934328979008933,1.3963026128426923,0.013932942048784286,0.006642744528981871,COMPLETE
40,0.9255430389315374,2023-09-04 17:22:49.373374,2023-09-04 17:24:50.244071,0 days 00:02:00.870697,0.0,balanced,8,31,100,40.03512477874756,0.20241093635559082,0.9255430389315374,0.9182700471857532,0.9240300905999261,0.934328979008933,0.9864046939285183,0.004787527861107226,0.006642744528981871,COMPLETE
41,0.9255430389315374,2023-09-04 17:22:57.306009,2023-09-04 17:25:00.687470,0 days 00:02:03.381461,0.0,balanced,8,31,100,40.796011447906494,0.28395827611287433,0.9255430389315374,0.9182700471857532,0.9240300905999261,0.934328979008933,1.7276192169309963,0.11863263656953733,0.006642744528981871,COMPLETE
42,0.9097394638204657,2023-09-04 17:23:52.004087,2023-09-04 17:29:36.482777,0 days 00:05:44.478690,0.0025,balanced,6,31,400,114.2331051826477,0.5474259853363037,0.9097394638204657,0.907967156077851,0.9049274892828904,0.9163237461006555,2.477752714082099,0.00675632533981167,0.004818331205926896,COMPLETE
