number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
43,0.9768664850832097,2023-09-04 02:54:37.719232,2023-09-04 02:57:59.683022,0 days 00:03:21.963790,0.0,3,31,500,66.09461100896199,1.1781367460886638,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,3.134689426494872,0.04512312777767974,0.004328464076228876,COMPLETE
44,0.9720510224532041,2023-09-04 02:55:45.161345,2023-09-04 02:59:14.822399,0 days 00:03:29.661054,0.0075,3,31,500,67.899232228597,1.9397663275400798,0.9720510224532041,0.9638688843734923,0.9762074355369993,0.9760767474491204,2.5930470500963825,0.746269064796669,0.005785891317718752,COMPLETE
45,0.9720510224532041,2023-09-04 02:55:51.064917,2023-09-04 02:59:32.683585,0 days 00:03:41.618668,0.0075,3,31,500,72.14830350875854,1.6688872973124187,0.9720510224532041,0.9638688843734923,0.9762074355369993,0.9760767474491204,1.6687915639210775,0.5919945421283745,0.005785891317718752,COMPLETE
46,0.9768664850832097,2023-09-04 02:55:55.056102,2023-09-04 02:59:21.321825,0 days 00:03:26.265723,0.0,3,31,500,67.41320061683655,1.2828481197357178,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,2.118498217194691,0.10563245095524318,0.004328464076228876,COMPLETE
47,0.9768664850832097,2023-09-04 02:56:01.224222,2023-09-04 02:59:28.489753,0 days 00:03:27.265531,0.0,3,31,500,67.65391373634338,1.385746717453003,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,2.489501634698383,0.18003175915245126,0.004328464076228876,COMPLETE
48,0.9765869343432362,2023-09-04 02:56:32.587050,2023-09-04 02:58:48.878177,0 days 00:02:16.291127,0.0,3,31,300,44.01805329322815,1.364142656326294,0.9765869343432362,0.9709020585233252,0.9790817825147389,0.9797769619916444,1.3387718918948917,0.6897350418951642,0.004029820379961852,COMPLETE
49,0.9768664850832097,2023-09-04 02:56:40.183184,2023-09-04 03:00:21.700640,0 days 00:03:41.517456,0.0,3,31,500,71.80371268590291,1.979915459950765,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,3.0735136701116113,0.9868613831888874,0.004328464076228876,COMPLETE
50,0.9768664850832097,2023-09-04 02:57:59.694027,2023-09-04 03:01:30.956797,0 days 00:03:31.262770,0.0,3,31,500,68.77020072937012,1.598878304163615,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,1.9415813403216706,0.5629948678711817,0.004328464076228876,COMPLETE
51,0.9768664850832097,2023-09-04 02:58:26.951799,2023-09-04 03:02:11.570455,0 days 00:03:44.618656,0.0,3,31,500,73.08327110608418,1.7330594857533772,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,3.181602164118078,0.7382316876484892,0.004328464076228876,COMPLETE
52,0.9768664850832097,2023-09-04 02:58:48.884695,2023-09-04 03:02:33.931009,0 days 00:03:45.046314,0.0,3,31,500,73.49566586812337,1.464922269185384,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,2.890916903822785,0.21460364658341982,0.004328464076228876,COMPLETE
