number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
40,0.9254778166501132,2023-09-03 22:35:31.299622,2023-09-03 22:36:43.710252,0 days 00:01:12.410630,0.0,5,21,100,23.482051213582356,0.6099788347880045,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.5136601726111755,0.21563556748028914,0.007043825391691702,COMPLETE
41,0.9254778166501132,2023-09-03 22:35:42.143653,2023-09-03 22:36:58.485294,0 days 00:01:16.341641,0.0,5,21,100,24.812793652216595,0.5872403780619303,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.08441044288151185,0.23316348560439676,0.007043825391691702,COMPLETE
42,0.9028018225079575,2023-09-03 22:35:58.582489,2023-09-03 22:37:10.326247,0 days 00:01:11.743758,0.0075,5,21,100,23.216483275095623,0.6520795027414957,0.9028018225079575,0.8965368434667255,0.9028110784612493,0.9090575455958976,0.04955961633062392,0.2495571340038694,0.0051115594297870435,COMPLETE
43,0.9254778166501132,2023-09-03 22:36:14.965930,2023-09-03 22:37:31.619633,0 days 00:01:16.653703,0.0,5,21,100,24.912066141764324,0.5926423072814941,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.21333161135983217,0.26584688400919987,0.007043825391691702,COMPLETE
44,0.9254778166501132,2023-09-03 22:36:27.105445,2023-09-03 22:37:41.205356,0 days 00:01:14.099911,0.0,5,21,100,24.235322554906208,0.4111316204071045,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.5516240294883888,0.004325782827907587,0.007043825391691702,COMPLETE
45,0.9254778166501132,2023-09-03 22:36:30.508744,2023-09-03 22:37:43.896719,0 days 00:01:13.387975,0.0,5,21,100,23.992342948913574,0.4234665234883626,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.41781595879861216,0.04582451838383792,0.007043825391691702,COMPLETE
46,0.9254778166501132,2023-09-03 22:36:35.696867,2023-09-03 22:37:47.491006,0 days 00:01:11.794139,0.0,5,21,100,23.396252632141113,0.4920988082885742,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.7486636514859759,0.15621478132296768,0.007043825391691702,COMPLETE
47,0.9261375629980284,2023-09-03 22:36:41.727431,2023-09-03 22:38:05.430307,0 days 00:01:23.702876,0.0,6,21,100,27.28316919008891,0.5595645109812418,0.9261375629980284,0.918998116552585,0.9243564212420867,0.9350581511994138,0.6137999275277529,0.2597388770450214,0.00667635268093815,COMPLETE
48,0.9254778166501132,2023-09-03 22:36:43.730259,2023-09-03 22:37:55.487530,0 days 00:01:11.757271,0.0,5,21,100,23.33823871612549,0.5236736933390299,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.8051582953760261,0.1838740768342745,0.007043825391691702,COMPLETE
49,0.9261375629980284,2023-09-03 22:36:58.491294,2023-09-03 22:38:28.359884,0 days 00:01:29.868590,0.0,6,21,100,28.978212277094524,0.9310602347056071,0.9261375629980284,0.918998116552585,0.9243564212420867,0.9350581511994138,1.00178275023987,0.3886307371100876,0.00667635268093815,COMPLETE
50,0.9259094318274403,2023-09-03 22:37:10.334248,2023-09-03 22:38:26.555565,0 days 00:01:16.221317,0.0,6,41,100,24.91742928822835,0.4401671091715495,0.9259094318274403,0.9188248269780646,0.9239127363850272,0.9349907321192295,0.47469496675817086,0.04889166401482035,0.00674903532739312,COMPLETE
51,0.9259094318274403,2023-09-03 22:37:31.633633,2023-09-03 22:38:55.214186,0 days 00:01:23.580553,0.0,6,41,100,27.006128629048664,0.7912152608235677,0.9259094318274403,0.9188248269780646,0.9239127363850272,0.9349907321192295,1.0433250773121552,0.26477966104952827,0.00674903532739312,COMPLETE
52,0.9259094318274403,2023-09-03 22:37:41.211367,2023-09-03 22:39:02.103893,0 days 00:01:20.892526,0.0,6,41,100,26.1430770556132,0.7720768451690674,0.9259094318274403,0.9188248269780646,0.9239127363850272,0.9349907321192295,0.605576119684574,0.18914344193683588,0.00674903532739312,COMPLETE
53,0.9259094318274403,2023-09-03 22:37:43.902720,2023-09-03 22:39:05.373027,0 days 00:01:21.470307,0.0,6,41,100,26.2418794631958,0.8658657868703207,0.9259094318274403,0.9188248269780646,0.9239127363850272,0.9349907321192295,0.579968604222931,0.41963965535995285,0.00674903532739312,COMPLETE
