number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__class_weight,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
39,0.9270167026406307,2023-09-05 03:50:23.929099,2023-09-05 03:56:30.072743,0 days 00:06:06.143644,0.0,,3,6,600,119.14437953631084,2.8304699261983237,0.9270167026406307,0.9186636266821049,0.9268912571608701,0.9354952240789172,2.920059219513709,0.15784148670527207,0.006872043371923122,COMPLETE
40,0.9272677403938502,2023-09-05 03:53:45.906177,2023-09-05 04:07:19.879116,0 days 00:13:33.972939,0.0,,4,6,1050,267.82035342852276,3.431246836980184,0.9272677403938502,0.9195295486401056,0.9262781364618601,0.9359955360795846,7.733905120391305,0.2043433704081094,0.006758533990244129,COMPLETE
41,0.9251971353422143,2023-09-05 03:53:51.208362,2023-09-05 04:05:46.141284,0 days 00:11:54.932922,0.0,,4,31,1050,235.11719051996866,3.120147148768107,0.9251971353422143,0.9179117104273262,0.922739557403466,0.9349401381958504,7.552881279123521,0.16961649820815658,0.007165733507963573,COMPLETE
42,0.9251971353422143,2023-09-05 03:54:11.138430,2023-09-05 04:07:29.883742,0 days 00:13:18.745312,0.0,,4,31,1050,261.8840095202128,4.285896301269531,0.9251971353422143,0.9179117104273262,0.922739557403466,0.9349401381958504,10.195435014596555,1.043527498186895,0.007165733507963573,COMPLETE
43,0.9251971353422143,2023-09-05 03:55:29.672008,2023-09-05 04:08:49.300744,0 days 00:13:19.628736,0.0,,4,31,1050,262.9379750887553,3.5318493048350015,0.9251971353422143,0.9179117104273262,0.922739557403466,0.9349401381958504,13.010232531682194,0.07374210697785959,0.007165733507963573,COMPLETE
44,0.9272677403938502,2023-09-05 03:56:24.238546,2023-09-05 04:09:55.603982,0 days 00:13:31.365436,0.0,,4,6,1050,266.9249731699626,3.4549740155537925,0.9272677403938502,0.9195295486401056,0.9262781364618601,0.9359955360795846,1.7835276717872668,0.12309436237051387,0.006758533990244129,COMPLETE
45,0.9272973905138207,2023-09-05 03:56:30.078742,2023-09-05 04:06:18.150190,0 days 00:09:48.071448,0.0,,4,6,750,192.92570050557455,3.039738178253174,0.9272973905138207,0.9192624716028029,0.9266545046274133,0.9359751953112456,9.41787352962488,0.8955664898531356,0.006838067959879302,COMPLETE
46,0.9272973905138207,2023-09-05 03:59:59.346450,2023-09-05 04:10:57.415000,0 days 00:10:58.068550,0.0,,4,6,750,215.80229822794595,3.4069858392079673,0.9272973905138207,0.9192624716028029,0.9266545046274133,0.9359751953112456,5.31612843126078,0.27078545420326333,0.006838067959879302,COMPLETE
47,0.9268352146771585,2023-09-05 04:01:37.319099,2023-09-05 04:11:15.967389,0 days 00:09:38.648290,0.0,balanced,4,6,750,190.03304044405618,2.757013956705729,0.9268352146771585,0.9193558388238334,0.9262315146458024,0.9349182905618395,1.8020535518876764,0.08100659647243082,0.006367669187404788,COMPLETE
48,0.9272973905138207,2023-09-05 04:05:46.154282,2023-09-05 04:15:23.981917,0 days 00:09:37.827635,0.0,,4,6,750,188.92536369959512,3.614664157231649,0.9272973905138207,0.9192624716028029,0.9266545046274133,0.9359751953112456,4.50505423029474,0.961685934458666,0.006838067959879302,COMPLETE
49,0.9273821235119221,2023-09-05 04:06:18.161186,2023-09-05 04:17:49.165418,0 days 00:11:31.004232,0.0,,4,6,900,226.38867704073587,3.878204902013143,0.9273821235119221,0.9196556387065677,0.9263641805420622,0.9361265512871362,7.585574877145454,1.2585353564435457,0.006762637366520905,COMPLETE
50,0.9273821235119221,2023-09-05 04:07:19.891113,2023-09-05 04:18:55.556081,0 days 00:11:35.664968,0.0,,4,6,900,227.93226520220438,3.884702285130819,0.9273821235119221,0.9196556387065677,0.9263641805420622,0.9361265512871362,7.382907033468697,1.241156353678962,0.006762637366520905,COMPLETE
51,0.9269633288533751,2023-09-05 04:07:29.901739,2023-09-05 04:18:42.627961,0 days 00:11:12.726222,0.0,balanced,4,6,900,220.21987334887186,3.9405113061269126,0.9269633288533751,0.9195009769679763,0.9263692313312911,0.9350197782608582,8.131958209595368,0.6953808700818535,0.006349436315731689,COMPLETE
52,0.9269633288533751,2023-09-05 04:08:49.310787,2023-09-05 04:20:03.103918,0 days 00:11:13.793131,0.0,balanced,4,6,900,220.4573828379313,4.050619999567668,0.9269633288533751,0.9195009769679763,0.9263692313312911,0.9350197782608582,5.399678766182331,1.367469087780578,0.006349436315731689,COMPLETE
53,0.9269633288533751,2023-09-05 04:09:55.621972,2023-09-05 04:20:17.008150,0 days 00:10:21.386178,0.0,balanced,4,6,900,203.35635908444723,3.670158545176188,0.9269633288533751,0.9195009769679763,0.9263692313312911,0.9350197782608582,5.664209939350734,1.1545705456340234,0.006349436315731689,COMPLETE
54,0.9271617877183181,2023-09-05 04:10:57.431003,2023-09-05 04:24:41.037763,0 days 00:13:43.606760,0.0,balanced,5,6,900,270.4995170434316,3.9501895109812417,0.9271617877183181,0.9200226303601888,0.9264166858513302,0.9350460469434355,9.814602667889464,0.8111820431963589,0.006155872212913705,COMPLETE
55,0.9271617877183181,2023-09-05 04:11:15.976917,2023-09-05 04:25:00.352147,0 days 00:13:44.375230,0.0,balanced,5,6,900,270.5132026672363,4.195685863494873,0.9271617877183181,0.9200226303601888,0.9264166858513302,0.9350460469434355,10.257718491514202,0.9020159708322611,0.006155872212913705,COMPLETE
56,0.9271617877183181,2023-09-05 04:15:23.990919,2023-09-05 04:28:04.042572,0 days 00:12:40.051653,0.0,balanced,5,6,900,249.477592309316,3.801771640777588,0.9271617877183181,0.9200226303601888,0.9264166858513302,0.9350460469434355,6.8789042831662615,0.4863456473057351,0.006155872212913705,COMPLETE
57,0.9232036111528948,2023-09-05 04:17:49.181413,2023-09-05 04:31:28.506980,0 days 00:13:39.325567,0.0,balanced,5,1,900,268.9021267096202,4.043127616246541,0.9232036111528948,0.9140696402152547,0.9231326076525067,0.9324085855909232,7.438395822440408,0.2054281942224247,0.0074870114418566554,COMPLETE
58,0.9273821235119221,2023-09-05 04:18:42.641974,2023-09-05 04:31:43.079092,0 days 00:13:00.437118,0.0,,4,6,900,254.58894340197244,5.470026175181071,0.9273821235119221,0.9196556387065677,0.9263641805420622,0.9361265512871362,7.166148872909724,0.36395830400157914,0.006762637366520905,COMPLETE
59,0.9234216235372048,2023-09-05 04:18:55.570607,2023-09-05 04:31:40.320845,0 days 00:12:44.750238,0.0,,4,1,900,249.2002148628235,5.55893349647522,0.9234216235372048,0.9156529469194297,0.9222108395676074,0.9324010841245772,10.054680326436218,1.1950557548822383,0.006890792084435937,COMPLETE
